rank,team,elo_rating,rating_date,source,source_original
1,Spain,2155,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
2,Argentina,2114,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
3,France,2062,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
4,England,2021,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
5,Brazil,1991,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
6,Portugal,1986,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
7,Colombia,1977,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
8,Netherlands,1944,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
9,Ecuador,1935,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
10,Germany,1932,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
11,Norway,1917,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
12,Turkey,1911,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
13,Croatia,1908,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
14,Japan,1906,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
15,Belgium,1893,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
16,Uruguay,1892,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
17,Switzerland,1891,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
18,Mexico,1875,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
19,Senegal,1867,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
